domain,org_type,org_name,source,source_ref,is_active,notes
brunnbyskola.se,enskild_huvudman,BRUNNBY SKOLA M-I HANDELSBOLAG,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/9167744359,true,
bryggerietsgymnasium.se,enskild_huvudman,BRYGGERIETS BILDNINGS BYRÅ (BBB),skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8465017070,true,
bultenfritids.se,enskild_huvudman,EK FÖRENING FÖRÄLDRAKOOPERATIVET BULTEN,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7164056876,true,
bya.se,enskild_huvudman,Säkerhetsgymnasiet i Stockholm AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567551386,true,
byangsskolan.se,enskild_huvudman,Byängsskolan AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567563316,true,
båktorp.se,enskild_huvudman,Båktorp AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5564834363,true,
campeon.se,enskild_huvudman,CAMPEON FRIGYMNASIUM AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566264056,true,
campusmanilla.se,enskild_huvudman,Campus Manilla Utbildning AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568834765,true,
caremore.se,enskild_huvudman,Viljan Vård och Behandling AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5564997319,true,
carlgrenska.se,enskild_huvudman,STOCKHOLMS FRIA WALDORFGYMNASIUM,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024530647,false,
carlssonsskola.se,enskild_huvudman,FÖRENINGEN FÖR CARLSSONS SKOLA,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8020058270,true,
carlwahren.com,enskild_huvudman,C W Education AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568027378,true,
casagbg.se,enskild_huvudman,STIFTELSEN CASA DEI BAMBINI,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8520004261,true,
casamontessori.se,enskild_huvudman,MONTESSORISTIFTELSEN I PARTILLE,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8572054610,true,
centrina.se,enskild_huvudman,Vindseglet AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567572234,true,
centrumskolan.se,enskild_huvudman,CENTRUMSKOLAN I HELSINGBORG AKTIEBOLAG,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5564575628,true,
centuriaskolan.se,enskild_huvudman,021 Skol AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568373228,true,
christinagymnasiet.se,enskild_huvudman,Lidingö Gymnasium AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5592340474,true,
christinaskolan.se,enskild_huvudman,Lidingö Skola AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568681810,true,
cis.se,enskild_huvudman,CIS KALMAR AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5565896213,true,
citygymnasiet.com,enskild_huvudman,Västerås Citygymnasium AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567503890,false,
cng.se,enskild_huvudman,CURT NICOLIN GYMNASIET AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566431044,true,
communityskolan.se,enskild_huvudman,RM Bildning AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5591946909,true,
consensum.se,enskild_huvudman,Consensum Lund AB,skolverket_organizer_email,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566023684,true,confirmed_from_skolverket_missing_url_queue;school_unit=Realgymnasiet Lund 2(AKTIV);official_domain_in_skolverket_email
cordobaskolan.se,enskild_huvudman,ALM Education AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566344270,true,
culturagymnasium.se,enskild_huvudman,Cultura Utbildning AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567127237,true,
cybergymnasiet.se,enskild_huvudman,Cybergymnasiet Stockholm AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5565547964,true,
dalbacken.se,enskild_huvudman,Dalbackens Friskola Ekonomisk förening,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696273411,true,
dalbysandbymontessori.se,enskild_huvudman,DALBY OCH SÖDRA SANDBY MONTESSORIFÖRENING EK FÖR,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696010151,true,
dansomusikal.se,enskild_huvudman,Dans o Musikal i Lund AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566981766,true,
davinciskolan.com,enskild_huvudman,DAVI SKOLAN AKTIEBOLAG,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5565315610,true,
delsbowaldorfskola.se,enskild_huvudman,SKOLFÖRENINGEN DELSBO WALDORFSKOLA,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8875007158,true,
deltaskolan.se,enskild_huvudman,Deltaskolan AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5568658545,true,
designgymnasiet.se,enskild_huvudman,Designgymnasiet i Sverige AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5569320681,true,
dillegard.se,enskild_huvudman,DILLE GÅRD AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5564173853,true,
distra.se,enskild_huvudman,DISTRA UTBILDNINGS CENTER AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566064209,true,
distraresursskolor.se,enskild_huvudman,DISTANS STRATEG SWEDEN AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5565833562,true,
djurgardsskolan.se,enskild_huvudman,STIFTELSEN DJURGÅRDSSKOLAN,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8020175769,true,
djurgymnasiet.com,enskild_huvudman,ANIMALLOGOS AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5566205455,true,
dmskola.se,enskild_huvudman,DANDERYDS MONTESSORISKOLA AKTIEBOLAG,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5564825577,false,
dockstafriskola.se,enskild_huvudman,DOCKSTA FRISKOLA Ekonomisk förening,official_org_site,https://dockstafriskola.se/,true,confirmed_from_skolverket_missing_url_queue
donnergymnasiet.se,enskild_huvudman,Donnergymnasiet AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5565408381,true,
dormsjoskolan.com,enskild_huvudman,AB Dormsjöskolan,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5567692081,true,
drakbergsskolan.se,enskild_huvudman,KANNEBÄCKS FRISKOLEFÖRENING,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8572069568,true,
drottningholmskolan.se,enskild_huvudman,"DROTTNINGHOLMSKOLAN, MÄLARÖARNAS WALDORFSKOLA",skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8152013010,true,
dunkersskola.se,enskild_huvudman,STIFTELSEN DUNKERS SKOLA,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8185013722,true,
ebbabrahegymnasium.se,enskild_huvudman,Ebba Braheskolan AB,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/5590468624,true,original_url=www.ebbabraheskolan.se & www.ebbabrahegymnasium.se
ebbapettersson.se,enskild_huvudman,EBBA PETTERSSONS PRIVATSKOLAS STIFTELSE,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8572022369,true,
edenskola.se,enskild_huvudman,"Edens skola, ekonomisk förening",skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696009039,true,
edenskolan.se,enskild_huvudman,STIFTELSEN BOLLNÄS BIBELCENTER,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8865009610,true,
edessaskolan.se,enskild_huvudman,STIFTELSEN BAR HEBREUS,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024242391,true,
edselefriskola.se,enskild_huvudman,"Medborgarkooperativet Edsele Friskola, Ekonomisk förening",skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/7696031058,false,
edsleskogsfriskola.se,enskild_huvudman,FÖRENINGEN EDSLESKOGS FRISKOLA,skolverket_organizer_api,https://api.skolverket.se/skolenhetsregistret/v2/organizers/8024439062,true,
