domain,org_type,org_name,source,source_ref,is_active,notes
landskrona.se,kommun,Landskrona kommun,skr_kommunlista,http://www.landskrona.se/,true,
laxa.se,kommun,Laxå kommun,skr_kommunlista,http://www.laxa.se/,true,
lekeberg.se,kommun,Lekeberg kommun,skr_kommunlista,http://www.lekeberg.se/,true,
leksand.se,kommun,Leksand kommun,skr_kommunlista,http://www.leksand.se/,true,
lerum.se,kommun,Lerum kommun,skr_kommunlista,http://www.lerum.se/,true,
lessebo.se,kommun,Lessebo kommun,skr_kommunlista,http://www.lessebo.se/,true,
lidingo.se,kommun,Lidingö kommun,skr_kommunlista,http://www.lidingo.se/,true,
lidkoping.se,kommun,Lidköping kommun,skr_kommunlista,http://www.lidkoping.se/,true,
lillaedet.se,kommun,Lilla Edet kommun,skr_kommunlista,http://www.lillaedet.se/,true,
lindesberg.se,kommun,Lindesberg kommun,skr_kommunlista,http://www.lindesberg.se/,true,
linkoping.se,kommun,Linköping kommun,skr_kommunlista,http://www.linkoping.se/,true,
ljungby.se,kommun,Ljungby kommun,skr_kommunlista,http://www.ljungby.se/,true,
ljusdal.se,kommun,Ljusdal kommun,skr_kommunlista,https://www.ljusdal.se/,true,
ljusnarsberg.se,kommun,Ljusnarsberg kommun,skr_kommunlista,http://www.ljusnarsberg.se/,true,
lomma.se,kommun,Lomma kommun,skr_kommunlista,http://www.lomma.se/,true,
ludvika.se,kommun,Ludvika kommun,skr_kommunlista,http://www.ludvika.se/,true,
lulea.se,kommun,Luleå kommun,skr_kommunlista,http://www.lulea.se/,true,
lund.se,kommun,Lund kommun,skr_kommunlista,http://www.lund.se/,true,
lycksele.se,kommun,Lycksele kommun,skr_kommunlista,http://www.lycksele.se/,true,
lysekil.se,kommun,Lysekil kommun,skr_kommunlista,http://www.lysekil.se/,true,
malmo.se,kommun,Malmö kommun,skr_kommunlista,http://www.malmo.se/,true,
malung-salen.se,kommun,Malung-Sälen kommun,skr_kommunlista,https://malung-salen.se/,true,
mala.se,kommun,Malå kommun,skr_kommunlista,http://www.mala.se/,true,
mariestad.se,kommun,Mariestad kommun,skr_kommunlista,http://www.mariestad.se/,true,
mark.se,kommun,Mark kommun,skr_kommunlista,http://www.mark.se/,true,
markaryd.se,kommun,Markaryd kommun,skr_kommunlista,http://www.markaryd.se/,true,
mellerud.se,kommun,Mellerud kommun,skr_kommunlista,http://www.mellerud.se/,true,
mjolby.se,kommun,Mjölby kommun,skr_kommunlista,https://www.mjolby.se/,true,
morakommun.se,kommun,Mora kommun,skr_kommunlista,https://morakommun.se/,true,
motala.se,kommun,Motala kommun,skr_kommunlista,http://www.motala.se/,true,
mullsjo.se,kommun,Mullsjö kommun,skr_kommunlista,http://www.mullsjo.se/,true,
munkedal.se,kommun,Munkedal kommun,skr_kommunlista,http://www.munkedal.se/,true,
munkfors.se,kommun,Munkfors kommun,skr_kommunlista,http://www.munkfors.se/,true,
molndal.se,kommun,Mölndal kommun,skr_kommunlista,http://www.molndal.se/,true,
monsteras.se,kommun,Mönsterås kommun,skr_kommunlista,http://www.monsteras.se/,true,
morbylanga.se,kommun,Mörbylånga kommun,skr_kommunlista,http://www.morbylanga.se/,true,
nacka.se,kommun,Nacka kommun,skr_kommunlista,http://www.nacka.se/,true,
nora.se,kommun,Nora kommun,skr_kommunlista,http://www.nora.se/,true,
norberg.se,kommun,Norberg kommun,skr_kommunlista,http://www.norberg.se/,true,
nordanstig.se,kommun,Nordanstig kommun,skr_kommunlista,http://www.nordanstig.se/,true,
nordmaling.se,kommun,Nordmaling kommun,skr_kommunlista,https://www.nordmaling.se/,true,
norrkoping.se,kommun,Norrköping kommun,skr_kommunlista,http://www.norrkoping.se/,true,
norrtalje.se,kommun,Norrtälje kommun,skr_kommunlista,https://www.norrtalje.se/,true,
norsjo.se,kommun,Norsjö kommun,skr_kommunlista,http://www.norsjo.se/,true,
nybro.se,kommun,Nybro kommun,skr_kommunlista,http://www.nybro.se/,true,
nykvarn.se,kommun,Nykvarn kommun,skr_kommunlista,http://www.nykvarn.se/,true,
nykoping.se,kommun,Nyköping kommun,skr_kommunlista,https://www.nykoping.se/,true,
nynashamn.se,kommun,Nynäshamn kommun,skr_kommunlista,http://www.nynashamn.se/,true,
nassjo.se,kommun,Nässjö kommun,skr_kommunlista,http://www.nassjo.se/,true,
ockelbo.se,kommun,Ockelbo kommun,skr_kommunlista,https://www.ockelbo.se/,true,
olofstrom.se,kommun,Olofström kommun,skr_kommunlista,http://www.olofstrom.se/,true,
orsa.se,kommun,Orsa kommun,skr_kommunlista,http://www.orsa.se/,true,
orust.se,kommun,Orust kommun,skr_kommunlista,http://www.orust.se/,true,
osby.se,kommun,Osby kommun,skr_kommunlista,http://www.osby.se/,true,
oskarshamn.se,kommun,Oskarshamn kommun,skr_kommunlista,https://www.oskarshamn.se/,true,
ovanaker.se,kommun,Ovanåker kommun,skr_kommunlista,http://www.ovanaker.se/,true,
oxelosund.se,kommun,Oxelösund kommun,skr_kommunlista,http://www.oxelosund.se/,true,
pajala.se,kommun,Pajala kommun,skr_kommunlista,http://www.pajala.se/,true,
partille.se,kommun,Partille kommun,skr_kommunlista,http://www.partille.se/,true,
perstorp.se,kommun,Perstorp kommun,skr_kommunlista,http://www.perstorp.se/,true,
pitea.se,kommun,Piteå kommun,skr_kommunlista,http://www.pitea.se/,true,
ragunda.se,kommun,Ragunda kommun,skr_kommunlista,http://www.ragunda.se/,true,
robertsfors.se,kommun,Robertsfors kommun,skr_kommunlista,http://www.robertsfors.se/,true,
ronneby.se,kommun,Ronneby kommun,skr_kommunlista,http://www.ronneby.se/,true,
rattvik.se,kommun,Rättvik kommun,skr_kommunlista,http://www.rattvik.se/,true,
sala.se,kommun,Sala kommun,skr_kommunlista,http://www.sala.se/,true,
salem.se,kommun,Salem kommun,skr_kommunlista,http://www.salem.se/,true,
sandviken.se,kommun,Sandviken kommun,skr_kommunlista,http://www.sandviken.se/,true,
sigtuna.se,kommun,Sigtuna kommun,skr_kommunlista,http://www.sigtuna.se/,true,
simrishamn.se,kommun,Simrishamn kommun,skr_kommunlista,http://www.simrishamn.se/,true,
sjobo.se,kommun,Sjöbo kommun,skr_kommunlista,http://www.sjobo.se/,true,
