cid,hazard_key,display_name,compound_url,candidate_index,candidate_url,candidate_source,likely_sds
9837674,Cu(NO3)2·3H2O,Koppar(II)nitrat (trihydrat),https://pubchem.ncbi.nlm.nih.gov/compound/9837674,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
9989219,K2O,Kaliumoxid,https://pubchem.ncbi.nlm.nih.gov/compound/9989219,0,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
9989219,K2O,Kaliumoxid,https://pubchem.ncbi.nlm.nih.gov/compound/9989219,1,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1576.pdf,safety,false
9989219,K2O,Kaliumoxid,https://pubchem.ncbi.nlm.nih.gov/compound/9989219,2,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
9989219,K2O,Kaliumoxid,https://pubchem.ncbi.nlm.nih.gov/compound/9989219,3,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
9989226,Al2O3,Aluminiumoxid,https://pubchem.ncbi.nlm.nih.gov/compound/9989226,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
16211214,Na2B4O7·10H2O,"Borax (natriumtetraborat, decahydrat)",https://pubchem.ncbi.nlm.nih.gov/compound/16211214,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
16211566,Fe(NO3)3·9H2O,Järn(III)nitrat (nonahydrat),https://pubchem.ncbi.nlm.nih.gov/compound/16211566,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
16211588,FeCl2·4H2O,Järn(II)klorid (tetrahydrat),https://pubchem.ncbi.nlm.nih.gov/compound/16211588,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
16211978,Fe3O4,"Järn(II,III)oxid",https://pubchem.ncbi.nlm.nih.gov/compound/16211978,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
22377415,Al2(SO4)3·18H2O,Aluminiumsulfat (octadecahydrat),https://pubchem.ncbi.nlm.nih.gov/compound/22377415,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
23665760,NaClO,Natriumhypoklorit,https://pubchem.ncbi.nlm.nih.gov/compound/23665760,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
23665760,NaClO,Natriumhypoklorit,https://pubchem.ncbi.nlm.nih.gov/compound/23665760,1,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
23665760,NaClO,Natriumhypoklorit,https://pubchem.ncbi.nlm.nih.gov/compound/23665760,2,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
23665760,NaClO,Natriumhypoklorit,https://pubchem.ncbi.nlm.nih.gov/compound/23665760,3,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1707.pdf,safety,false
23665760,NaClO,Natriumhypoklorit,https://pubchem.ncbi.nlm.nih.gov/compound/23665760,4,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
23665760,NaClO,Natriumhypoklorit,https://pubchem.ncbi.nlm.nih.gov/compound/23665760,5,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
23665763,NaHSO3,Natriumvätesulfit,https://pubchem.ncbi.nlm.nih.gov/compound/23665763,0,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
23665763,NaHSO3,Natriumvätesulfit,https://pubchem.ncbi.nlm.nih.gov/compound/23665763,1,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
23665763,NaHSO3,Natriumvätesulfit,https://pubchem.ncbi.nlm.nih.gov/compound/23665763,2,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1685.pdf,safety,false
23665763,NaHSO3,Natriumvätesulfit,https://pubchem.ncbi.nlm.nih.gov/compound/23665763,3,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
23665763,NaHSO3,Natriumvätesulfit,https://pubchem.ncbi.nlm.nih.gov/compound/23665763,4,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
23668193,NaNO2,Natriumnitrit,https://pubchem.ncbi.nlm.nih.gov/compound/23668193,0,https://www.cas.org/sites/default/files/documents/chemical-safety-library-terms.pdf,safety,false
23668193,NaNO2,Natriumnitrit,https://pubchem.ncbi.nlm.nih.gov/compound/23668193,1,https://www.govinfo.gov/content/pkg/CFR-2009-title49-vol2/pdf/CFR-2009-title49-vol2-part171.pdf,safety,false
23668193,NaNO2,Natriumnitrit,https://pubchem.ncbi.nlm.nih.gov/compound/23668193,2,https://www.govinfo.gov/content/pkg/CFR-2020-title49-vol2/pdf/CFR-2020-title49-vol2-part172.pdf,safety,false
23668193,NaNO2,Natriumnitrit,https://pubchem.ncbi.nlm.nih.gov/compound/23668193,3,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2258.pdf,safety,false
23668193,NaNO2,Natriumnitrit,https://pubchem.ncbi.nlm.nih.gov/compound/23668193,4,https://www.nj.gov/health/workplacehealthandsafety/documents/right-to-know/rtkact.pdf,safety,false
23668193,NaNO2,Natriumnitrit,https://pubchem.ncbi.nlm.nih.gov/compound/23668193,5,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
23672064,NaH2PO4,Natriumdihydrogenfosfat,https://pubchem.ncbi.nlm.nih.gov/compound/23672064,0,https://www.osha.gov/sites/default/files/publications/OSHA3514.pdf,safety,false
